state_code,county,lat,long,TEST_zipcode,TEST_county,TEST_state,TEST_population,TEST_population_density
CT,Hartford,41.806053000000006,-72.732916,06112,Hartford County,CT,22879,8387.0
CT,New Haven,41.349717999999996,-72.900203,06517,New Haven County,CT,14853,2920.0
GA,Coweta,33.352897,-84.76213800000001,30265,Coweta County,GA,31713,745.0
HI,Kauai,22.012038,-159.705965,96741,Kauai County,HI,5929,215.0
ID,Blaine,43.394192,-113.955371,83348,Blaine County,ID,132,2.0
ID,Teton,43.760994000000004,-111.21176499999999,83422,Teton County,ID,3392,25.0
IL,Cumberland,39.273121,-88.240619,62468,Cumberland County,IL,2564,36.0
IL,DuPage,41.852058,-88.086039,60137,DuPage County,IL,37805,3496.0
IL,Sangamon,39.756867,-89.662425,62704,Sangamon County,IL,39831,3295.0
IL,St. Clair,38.470197999999996,-89.928546,62220,St. Clair County,IL,20504,701.0
IL,Woodford,40.789787,-89.210587,61561,Woodford County,IL,2788,51.0
IN,LaPorte,41.549013,-86.744739,46350,LaPorte County,IN,43650,225.0
IN,Wells,40.735273,-85.212974,46714,Wells County,IN,14645,114.0
IA,Dallas,41.685320000000004,-94.040706,50167,Dallas County,IA,748,19.0
KS,Franklin,38.558019,-95.27896199999999,66067,Franklin County,KS,16170,97.0
KY,Bourbon,38.202562,-84.20985999999999,40361,Bourbon County,KY,18220,71.0
KY,Nelson,37.80312,-85.46593100000001,40004,Nelson County,KY,28245,196.0
LA,Bossier,32.698481,-93.626561,71006,Bossier Parish,LA,12158,59.0
